Codebase,Feature,Cluster,CLIP,CRIP,CROP,CWOP,CIP,COP,CPIF,CIOF,Orchestrator
Acme-Santiago-maven,ChirpUserController.create,4,0.500000,0.500000,0.500000,0.500000,0.400000,0.333333,2.000000,0.857143,0
Acme-Santiago-maven,ChirpUserController.create,3,1.000000,0.000000,0.000000,1.000000,0.200000,0.166667,0.000000,0.857143,0
Acme-Santiago-maven,CommentUserController.saveRoute,0,0.000000,1.000000,1.000000,0.000000,0.466667,0.320000,1.500000,0.774194,0
Acme-Santiago-maven,CommentUserController.saveRoute,4,0.714286,0.285714,0.437500,0.562500,0.466667,0.640000,1.500000,1.548387,0
Acme-Santiago-maven,CommentUserController.saveRoute,6,0.000000,1.000000,1.000000,0.000000,0.066667,0.040000,0.000000,0.677419,1
Acme-Santiago-maven,CompostelaUserController.create,0,0.000000,1.000000,1.000000,0.000000,0.333333,0.250000,0.750000,0.750000,1
Acme-Santiago-maven,CompostelaUserController.create,4,0.500000,0.500000,0.500000,0.500000,0.333333,0.250000,1.500000,0.750000,0
Acme-Santiago-maven,CompostelaUserController.create,5,1.000000,0.000000,0.250000,0.750000,0.333333,0.500000,0.750000,1.500000,0
Acme-Santiago-maven,ChirpAdministratorController.listAll,3,0.333333,0.666667,0.750000,0.250000,0.500000,0.444444,1.285714,0.923077,1
Acme-Santiago-maven,ChirpAdministratorController.listAll,0,0.000000,1.000000,1.000000,0.000000,0.333333,0.444444,1.714286,1.384615,0
Acme-Santiago-maven,ChirpAdministratorController.listAll,6,0.000000,1.000000,1.000000,0.000000,0.166667,0.111111,0.000000,0.692308,0
Acme-Santiago-maven,CompostelaAdministratorController.save,5,0.047619,0.952381,0.964286,0.035714,0.488372,0.518519,1.500000,0.893617,1
Acme-Santiago-maven,CompostelaAdministratorController.save,4,0.000000,1.000000,1.000000,0.000000,0.488372,0.444444,1.500000,0.765957,0
Acme-Santiago-maven,CompostelaAdministratorController.save,0,0.000000,1.000000,1.000000,0.000000,0.023256,0.037037,0.000000,1.340425,0
Acme-Santiago-maven,AdvertisementAdministratorController.save,0,0.200000,0.800000,0.900000,0.100000,0.454545,0.500000,1.666667,1.250000,0
Acme-Santiago-maven,AdvertisementAdministratorController.save,6,0.000000,1.000000,1.000000,0.000000,0.090909,0.050000,0.000000,0.625000,1
Acme-Santiago-maven,AdvertisementAdministratorController.save,1,0.600000,0.400000,0.555556,0.444444,0.454545,0.450000,1.333333,1.125000,0
Acme-Santiago-maven,ChirpUserController.save,0,0.250000,0.750000,0.800000,0.200000,0.307692,0.312500,0.813559,1.027397,0
Acme-Santiago-maven,ChirpUserController.save,4,0.500000,0.500000,0.500000,0.500000,0.307692,0.250000,1.423729,0.821918,1
Acme-Santiago-maven,ChirpUserController.save,3,0.800000,0.200000,0.428571,0.571429,0.384615,0.437500,0.762712,1.150685,0
Acme-Santiago-maven,InnInnkeeperController.save,4,0.250000,0.750000,0.800000,0.200000,0.285714,0.303030,0.654665,0.983607,0
Acme-Santiago-maven,InnInnkeeperController.save,2,0.166667,0.833333,0.857143,0.142857,0.214286,0.212121,0.870704,0.918033,0
Acme-Santiago-maven,InnInnkeeperController.save,0,0.000000,1.000000,1.000000,0.000000,0.107143,0.151515,2.176759,1.311476,0
Acme-Santiago-maven,InnInnkeeperController.save,5,0.363636,0.636364,0.636364,0.363636,0.392857,0.333333,0.297872,0.786885,1
Acme-Santiago-maven,CommentUserController.saveHike,6,0.000000,1.000000,1.000000,0.000000,0.066667,0.040000,0.000000,0.677419,1
Acme-Santiago-maven,CommentUserController.saveHike,0,0.000000,1.000000,1.000000,0.000000,0.466667,0.320000,1.500000,0.774194,0
Acme-Santiago-maven,CommentUserController.saveHike,4,0.714286,0.285714,0.437500,0.562500,0.466667,0.640000,1.500000,1.548387,0
Acme-Santiago-maven,WalkUserController.create,4,0.250000,0.750000,0.833333,0.166667,0.400000,0.400000,0.888889,1.090909,1
Acme-Santiago-maven,WalkUserController.create,0,0.000000,1.000000,1.000000,0.000000,0.300000,0.400000,2.222222,1.454545,0
Acme-Santiago-maven,WalkUserController.create,5,1.000000,0.000000,0.000000,1.000000,0.200000,0.133333,0.888889,0.727273,0
Acme-Santiago-maven,WalkUserController.create,2,0.000000,1.000000,1.000000,0.000000,0.100000,0.066667,0.000000,0.727273,0
Acme-Santiago-maven,HikeUserController.delete,1,0.333333,0.666667,0.800000,0.200000,0.150000,0.208333,0.714286,1.344086,0
Acme-Santiago-maven,HikeUserController.delete,5,0.400000,0.600000,0.600000,0.400000,0.250000,0.208333,0.595238,0.806452,1
Acme-Santiago-maven,HikeUserController.delete,2,0.666667,0.333333,0.500000,0.500000,0.150000,0.166667,0.476190,1.075269,0
Acme-Santiago-maven,HikeUserController.delete,0,0.000000,1.000000,1.000000,0.000000,0.250000,0.250000,0.833333,0.967742,0
Acme-Santiago-maven,HikeUserController.delete,4,0.250000,0.750000,0.750000,0.250000,0.200000,0.166667,2.380952,0.806452,0
Acme-Santiago-maven,RouteAdministratorController.delete,4,0.285714,0.714286,0.750000,0.250000,0.318182,0.280702,1.302395,0.842043,0
Acme-Santiago-maven,RouteAdministratorController.delete,1,0.333333,0.666667,0.800000,0.200000,0.068182,0.087719,0.875749,1.227980,0
Acme-Santiago-maven,RouteAdministratorController.delete,5,0.363636,0.636364,0.615385,0.384615,0.250000,0.228070,0.875749,0.870749,1
Acme-Santiago-maven,RouteAdministratorController.delete,2,0.666667,0.333333,0.500000,0.500000,0.068182,0.070175,0.583832,0.982384,0
Acme-Santiago-maven,RouteAdministratorController.delete,0,0.076923,0.923077,0.947368,0.052632,0.295455,0.333333,1.362275,1.076844,0
Acme-Santiago-maven,RouteUserController.delete,0,0.071429,0.928571,0.950000,0.050000,0.311111,0.338983,1.383929,1.046622,0
Acme-Santiago-maven,RouteUserController.delete,4,0.285714,0.714286,0.764706,0.235294,0.311111,0.288136,1.294643,0.889629,0
Acme-Santiago-maven,RouteUserController.delete,1,0.333333,0.666667,0.800000,0.200000,0.066667,0.084746,0.870536,1.221059,0
Acme-Santiago-maven,RouteUserController.delete,5,0.363636,0.636364,0.615385,0.384615,0.244444,0.220339,0.870536,0.865842,1
Acme-Santiago-maven,RouteUserController.delete,2,0.666667,0.333333,0.500000,0.500000,0.066667,0.067797,0.580357,0.976847,0
Acme-Series-maven,SeasonController.adminSave,2,0.500000,0.500000,0.555556,0.444444,0.400000,0.428571,0.893617,1.125000,0
Acme-Series-maven,SeasonController.adminSave,3,0.333333,0.666667,0.666667,0.333333,0.200000,0.142857,0.957447,0.750000,0
Acme-Series-maven,SeasonController.adminSave,0,0.000000,1.000000,1.000000,0.000000,0.400000,0.428571,1.148936,1.125000,1
Acme-Series-maven,CritiqueController.create,3,0.500000,0.500000,0.500000,0.500000,0.222222,0.153846,2.160000,0.734694,0
Acme-Series-maven,CritiqueController.create,0,0.000000,1.000000,1.000000,0.000000,0.444444,0.538462,0.480000,1.285714,1
Acme-Series-maven,CritiqueController.create,4,0.333333,0.666667,0.500000,0.500000,0.333333,0.307692,0.360000,0.979592,0
