Codebase,Feature,Type,Cluster,Entities,CLIP,CRIP,CROP,CWOP,CIP,COP,CPIF,CIOF,Orchestrator
ldod-static,AdminController.deleteFragment,SAGA,0,"AnnexNote, NoteText, PbText, PhysNote, RdgText, RefText, Rend, Facsimile, FragInter, Fragment, Source, Heteronym, SourceInter, Surface, LbText, LdoD, TextPortion, LdoDDate, ",0.937500,0.062500,0.400000,0.600000,0.231884,0.454545,0.957740,0.454545,0
ldod-static,AdminController.deleteAllFragments,SAGA,3,"ClassificationGame, Player, ClassificationGameParticipant, ClassificationGameRound, ",0.714286,0.285714,0.407407,0.592593,0.202899,0.144385,0.361278,0.144385,1
ldod-static,AdminController.deleteAllFragments,SAGA,4,"AwareAnnotation, Citation, InfoRange, ",1.000000,0.000000,0.368421,0.631579,0.115942,0.101604,0.513075,0.101604,0
ldod-static,AdminController.deleteAllFragments,SAGA,0,"AnnexNote, NoteText, PbText, PhysNote, RdgText, RefText, Rend, Facsimile, FragInter, Fragment, Source, Heteronym, SourceInter, Surface, LbText, LdoD, TextPortion, LdoDDate, ",0.937500,0.062500,0.400000,0.600000,0.231884,0.454545,0.957740,0.454545,0
ldod-static,AdminController.deleteAllFragments,SAGA,1,"Section, Annotation, VirtualEdition, VirtualEditionInter, Category, HumanAnnotation, Range, Tag, Taxonomy, ",0.800000,0.200000,0.340000,0.660000,0.362319,0.267380,0.460452,0.267380,0
ldod-static,AdminController.deleteAllFragments,SAGA,2,"LdoDUser, ",1.000000,0.000000,0.000000,1.000000,0.086957,0.032086,2.707456,0.032086,0
ldod-static,AdminController.deleteVirtualEdition,SAGA,1,"Member, Section, Annotation, VirtualEdition, VirtualEditionInter, Category, HumanAnnotation, Range, Tag, Taxonomy, RecommendationWeights, ",0.841270,0.158730,0.330827,0.669173,0.434483,0.453925,0.153563,0.453925,0
ldod-static,AdminController.deleteVirtualEdition,SAGA,0,"RefText, FragInter, Fragment, AnnexNote, NoteText, Source, PbText, Heteronym, LbText, LdoD, RdgText, LdoDDate, ",0.882353,0.117647,0.313726,0.686275,0.117241,0.174061,0.892584,0.174061,0
ldod-static,AdminController.deleteVirtualEdition,SAGA,3,"ClassificationGame, Player, ClassificationGameParticipant, ClassificationGameRound, ",0.714286,0.285714,0.407407,0.592593,0.289655,0.276451,0.252040,0.276451,0
ldod-static,AdminController.deleteVirtualEdition,SAGA,2,"LdoDUser, ",0.944444,0.055556,0.055556,0.944444,0.124138,0.061433,0.799100,0.061433,0
