Codebase,Feature,Orchestrator,Entities,Type,Initial System Complexity,Final System Complexity,Redesign Complexity
ldod-static,AdminController.deleteFragment,3,"ClassificationGame, Player, ClassificationGameParticipant, ClassificationGameRound, ",SAGA,3462,910,35
ldod-static,AdminController.deleteFragment,4,"AwareAnnotation, Citation, InfoRange, ",SAGA,3462,923,35
ldod-static,AdminController.exportVirtualEditions,4,"TimeWindow, MediaSource, Frequency, SocialMediaCriteria, GeographicLocation, ",QUERY,0,0,455
ldod-static,AdminController.exportVirtualEditions,3,"Player, ClassificationGame, ClassificationGameParticipant, ClassificationGameRound, ",QUERY,0,0,458
ldod-static,VirtualEditionController.reorderVirtualEdition,3,"ClassificationGame, Player, ClassificationGameParticipant, ClassificationGameRound, ",SAGA,3394,751,59
ldod-static,VirtualEditionController.reorderVirtualEdition,4,"Citation, InfoRange, ",SAGA,3394,744,59
ldod-static,RecommendationController.createSectionVirtualEdition,4,"Citation, InfoRange, ",SAGA,7247,876,40
ldod-static,RecommendationController.createSectionVirtualEdition,3,"ClassificationGame, Player, ClassificationGameParticipant, ClassificationGameRound, ",SAGA,7247,973,44
ldod-static,AdminController.deleteVirtualEdition,4,"SocialMediaCriteria, Citation, InfoRange, ",SAGA,6829,866,31
ldod-static,AdminController.deleteVirtualEdition,2,"LdoDUser, ",SAGA,6829,1208,39
ldod-static,VirtualEditionController.deleteVirtualEdition,4,"SocialMediaCriteria, Citation, InfoRange, ",SAGA,6829,857,31
ldod-static,VirtualEditionController.deleteVirtualEdition,2,"LdoDUser, ",SAGA,6829,1215,39
ldod-static,RecommendationController.saveLinearVirtualEdition,4,"Citation, InfoRange, ",SAGA,4974,744,59
ldod-static,RecommendationController.saveLinearVirtualEdition,2,"LdoDUser, ",SAGA,4974,859,61
ldod-static,AdminController.loadVirtualCorpus,4,"TimeWindow, MediaSource, Frequency, SocialMediaCriteria, GeographicLocation, Citation, InfoRange, ",SAGA,9337,906,45
ldod-static,AdminController.loadVirtualCorpus,0,"AnnexNote, NoteText, NullEdition, PbText, RdgText, Edition, RefText, ExpertEdition, ExpertEditionInter, FragInter, Fragment, Source, Heteronym, SourceInter, LbText, LdoD, LdoDDate, ",SAGA,9337,1324,91
ldod-static,AdminController.loadTEIFragmentsAtOnce,3,"ClassificationGame, Player, ClassificationGameParticipant, ClassificationGameRound, ",SAGA,5163,1183,54
ldod-static,AdminController.loadTEIFragmentsAtOnce,4,"AwareAnnotation, Citation, InfoRange, ",SAGA,5163,1161,54
ldod-static,AdminController.deleteAllFragments,3,"ClassificationGame, Player, ClassificationGameParticipant, ClassificationGameRound, ",SAGA,3462,913,35
ldod-static,AdminController.deleteAllFragments,4,"AwareAnnotation, Citation, InfoRange, ",SAGA,3462,914,35
ldod-static,AdminController.generateCitations,3,"ClassificationGame, Player, ClassificationGameParticipant, ClassificationGameRound, ",SAGA,5449,794,80
ldod-static,AdminController.generateCitations,4,"TimeWindow, Tweet, TwitterCitation, MediaSource, Frequency, AwareAnnotation, SocialMediaCriteria, GeographicLocation, Citation, InfoRange, LastTwitterID, ",SAGA,5449,962,333
