Codebase,Feature,Cluster,CLIP,CRIP,CROP,CWOP,CIP,COP,CPIF,CIOF,Orchestrator
ldod-static,AdminController.deleteAllFragments,2,1.000000,0.000000,0.000000,1.000000,0.086957,0.032086,2.707456,0.032086,0
ldod-static,AdminController.deleteAllFragments,3,0.714286,0.285714,0.407407,0.592593,0.202899,0.144385,0.361278,0.144385,1
ldod-static,AdminController.deleteAllFragments,4,1.000000,0.000000,0.368421,0.631579,0.115942,0.101604,0.513075,0.101604,0
ldod-static,AdminController.deleteAllFragments,0,0.937500,0.062500,0.400000,0.600000,0.231884,0.454545,0.957740,0.454545,0
ldod-static,AdminController.deleteAllFragments,1,0.800000,0.200000,0.340000,0.660000,0.362319,0.267380,0.460452,0.267380,0
ldod-static,AdminController.deleteFragment,0,0.937500,0.062500,0.400000,0.600000,0.231884,0.454545,0.957740,0.454545,0
ldod-static,AdminController.deleteFragment,1,0.800000,0.200000,0.340000,0.660000,0.362319,0.267380,0.460452,0.267380,0
ldod-static,AdminController.deleteFragment,2,1.000000,0.000000,0.000000,1.000000,0.086957,0.032086,2.707456,0.032086,0
ldod-static,AdminController.deleteFragment,3,0.714286,0.285714,0.407407,0.592593,0.202899,0.144385,0.361278,0.144385,1
ldod-static,AdminController.deleteFragment,4,1.000000,0.000000,0.368421,0.631579,0.115942,0.101604,0.513075,0.101604,0
ldod-static,AdminController.loadTEIFragmentsAtOnce,2,1.000000,0.000000,0.000000,1.000000,0.048780,0.015190,3.032270,0.015190,0
ldod-static,AdminController.loadTEIFragmentsAtOnce,3,0.714286,0.285714,0.407407,0.592593,0.113821,0.068354,0.404620,0.068354,1
ldod-static,AdminController.loadTEIFragmentsAtOnce,4,1.000000,0.000000,0.368421,0.631579,0.065041,0.048101,0.574628,0.048101,0
ldod-static,AdminController.loadTEIFragmentsAtOnce,0,0.558140,0.441860,0.596639,0.403361,0.349593,0.602532,0.581995,0.602532,0
ldod-static,AdminController.loadTEIFragmentsAtOnce,1,0.596154,0.403846,0.533333,0.466667,0.422764,0.265823,0.406487,0.265823,0
ldod-static,RecommendationController.saveLinearVirtualEdition,3,0.714286,0.285714,0.407407,0.592593,0.274510,0.247706,0.298643,0.247706,0
ldod-static,RecommendationController.saveLinearVirtualEdition,4,1.000000,0.000000,0.250000,0.750000,0.039216,0.036697,2.484932,0.036697,1
ldod-static,RecommendationController.saveLinearVirtualEdition,0,0.823529,0.176471,0.358491,0.641509,0.166667,0.243119,0.789219,0.243119,0
ldod-static,RecommendationController.saveLinearVirtualEdition,1,0.860465,0.139535,0.322581,0.677419,0.421569,0.426605,0.210096,0.426605,0
ldod-static,RecommendationController.saveLinearVirtualEdition,2,1.000000,0.000000,0.000000,1.000000,0.098039,0.045872,1.217109,0.045872,0
ldod-static,VirtualEditionController.deleteVirtualEdition,2,0.944444,0.055556,0.055556,0.944444,0.124138,0.061433,0.799100,0.061433,0
ldod-static,VirtualEditionController.deleteVirtualEdition,4,1.000000,0.000000,0.300000,0.700000,0.034483,0.034130,2.902713,0.034130,1
ldod-static,VirtualEditionController.deleteVirtualEdition,1,0.841270,0.158730,0.330827,0.669173,0.434483,0.453925,0.153563,0.453925,0
ldod-static,VirtualEditionController.deleteVirtualEdition,0,0.882353,0.117647,0.313726,0.686275,0.117241,0.174061,0.892584,0.174061,0
ldod-static,VirtualEditionController.deleteVirtualEdition,3,0.714286,0.285714,0.407407,0.592593,0.289655,0.276451,0.252040,0.276451,0
ldod-static,AdminController.deleteVirtualEdition,1,0.841270,0.158730,0.330827,0.669173,0.434483,0.453925,0.153563,0.453925,0
ldod-static,AdminController.deleteVirtualEdition,0,0.882353,0.117647,0.313726,0.686275,0.117241,0.174061,0.892584,0.174061,0
ldod-static,AdminController.deleteVirtualEdition,3,0.714286,0.285714,0.407407,0.592593,0.289655,0.276451,0.252040,0.276451,0
ldod-static,AdminController.deleteVirtualEdition,2,0.944444,0.055556,0.055556,0.944444,0.124138,0.061433,0.799100,0.061433,0
ldod-static,AdminController.deleteVirtualEdition,4,1.000000,0.000000,0.300000,0.700000,0.034483,0.034130,2.902713,0.034130,1
ldod-static,AdminController.loadVirtualCorpus,2,0.740741,0.259259,0.259259,0.740741,0.115880,0.060811,1.198550,0.060811,0
ldod-static,AdminController.loadVirtualCorpus,1,0.740385,0.259615,0.401914,0.598086,0.446352,0.470721,0.208941,0.470721,0
ldod-static,AdminController.loadVirtualCorpus,3,0.714286,0.285714,0.407407,0.592593,0.180258,0.182432,0.373729,0.182432,0
ldod-static,AdminController.loadVirtualCorpus,4,1.000000,0.000000,0.318182,0.681818,0.055794,0.049550,2.582510,0.049550,1
ldod-static,AdminController.loadVirtualCorpus,0,0.553191,0.446809,0.561905,0.438095,0.201717,0.236486,0.636271,0.236486,0
ldod-static,AdminController.generateCitations,0,0.295455,0.704545,0.775000,0.225000,0.324723,0.310680,0.433212,0.310680,0
ldod-static,AdminController.generateCitations,4,0.412500,0.587500,0.676829,0.323171,0.295203,0.318447,0.506564,0.318447,0
ldod-static,AdminController.generateCitations,1,0.573333,0.426667,0.513333,0.486667,0.276753,0.291262,0.460674,0.291262,0
ldod-static,AdminController.generateCitations,2,0.857143,0.142857,0.142857,0.857143,0.051661,0.027184,3.322662,0.027184,1
ldod-static,AdminController.generateCitations,3,0.714286,0.285714,0.407407,0.592593,0.051661,0.052427,0.276889,0.052427,0
